URL: https://entomology.gitlab.io/hive.html?game=bsn:T!HV-InDusDus-Jewdoka-2024-09-21-1701

1: wL .
2: bL wL\
3: wM \wL
4: bQ bL-
5: wQ -wL
6: bM bL\
7: wP -wM
8: bP bQ-
9: wA1 wP/
10: bA1 -bM
11: wM -bA1
12: bM wA1-
13: wA2 -wP
14: bG1 bQ\
15: wA3 wA2/
16: bB1 bA1-
17: wB1 wA2\
18: bB1 bL
19: wB1 wQ
20: bB2 bA1-
21: wM wL-
22: bP bG1-
23: wA2 wM-
24: bA1 \wA3
25: wG1 wM/
26: bB2 /bB1
27: wB1 wQ\
28: bB1 wB1
29: wG2 wG1-
30: bL wG1/
31: wG1 bB1-
32: bS1 /bG1
33: wB2 wA2-
34: bM wB2-
35: wM bB2-
36: bB2 wM
37: wA1 wL-
38: bB1 wL
39: wG3 -wB1
40: bA1 -wG3
41: wA3 wG2-
42: bM wB2
43: wP bA1/
44: bA1 /wG3
45: wA3 -wG3
46: bA2 bP/
47: wG3 bQ-
